instance,n,known_opt,n_ils,rep,final_feas,final_semi,gap_pct,t_best_feas,t_best_semi,wall_s
airland8,50,1950.0,0,1,1950.0,1860.0,0.0,28.9408,28.9336,88.7498
airland8,50,1950.0,0,2,1950.0,1860.0,0.0,20.5382,20.5304,94.0146
airland8,50,1950.0,0,3,1950.0,1860.0,0.0,32.254,32.2468,82.3057
airland8,50,1950.0,2,1,1950.0,1860.0,0.0,124.2948,124.2875,247.1919
airland8,50,1950.0,2,2,1950.0,1860.0,0.0,95.9382,95.9343,247.4427
airland8,50,1950.0,2,3,1950.0,1860.0,0.0,87.1106,87.5891,230.2808
airland8,50,1950.0,4,1,1950.0,1860.0,0.0,69.1445,69.1406,300.1673
airland8,50,1950.0,4,2,1950.0,1860.0,0.0,95.3886,95.3837,300.1745
airland8,50,1950.0,4,3,1950.0,1860.0,0.0,90.6017,91.1804,300.155
airland8,50,1950.0,6,1,1950.0,1860.0,0.0,118.7227,118.7155,300.1773
airland8,50,1950.0,6,2,1950.0,1860.0,0.0,163.2978,163.2888,300.1653
airland8,50,1950.0,6,3,1950.0,1860.0,0.0,90.972,91.4489,300.19
airland9,100,5611.7,0,1,5611.7,5611.7,0.0,42.7774,42.7614,90.2497
airland9,100,5611.7,0,2,5611.7,5611.7,0.0,14.3963,14.3804,73.7192
airland9,100,5611.7,0,3,5618.66,5618.66,0.124,22.1968,22.1808,107.719
airland9,100,5611.7,2,1,5611.7,5611.7,0.0,37.7618,37.7457,160.1868
airland9,100,5611.7,2,2,5611.7,5611.7,0.0,16.371,16.355,170.2842
airland9,100,5611.7,2,3,5618.66,5618.66,0.124,33.816,33.788,114.8953
airland9,100,5611.7,4,1,5611.7,5611.7,0.0,37.6857,37.6696,163.118
airland9,100,5611.7,4,2,5611.7,5611.7,0.0,17.1186,17.1025,283.6166
airland9,100,5611.7,4,3,5611.99,5611.99,0.0052,102.6186,102.6035,142.0594
airland9,100,5611.7,6,1,5611.7,5611.7,0.0,56.1946,56.168,209.4114
airland9,100,5611.7,6,2,5611.7,5611.7,0.0,17.2223,17.2064,300.0637
airland9,100,5611.7,6,3,5611.99,5611.99,0.0052,104.422,104.4066,210.723
airland10,150,12640.42,0,1,12364.81,12364.81,-2.1804,74.8351,74.7811,106.5859
airland10,150,12640.42,0,2,12400.75,12400.75,-1.8961,57.0042,56.9498,97.6948
airland10,150,12640.42,0,3,12319.83,12319.83,-2.5362,72.9286,72.8746,138.031
airland10,150,12640.42,2,1,12364.81,12364.81,-2.1804,75.5969,75.5426,187.1678
airland10,150,12640.42,2,2,12400.75,12400.75,-1.8961,57.1736,57.1195,162.0207
airland10,150,12640.42,2,3,12319.83,12319.83,-2.5362,72.7634,72.7085,144.2421
airland10,150,12640.42,4,1,12364.81,12364.81,-2.1804,74.7679,74.714,190.0908
airland10,150,12640.42,4,2,12400.75,12400.75,-1.8961,57.2344,57.1798,170.9203
airland10,150,12640.42,4,3,12319.83,12319.83,-2.5362,74.1531,74.1,149.2839
airland10,150,12640.42,6,1,12364.81,12364.81,-2.1804,74.4955,74.4412,235.4872
airland10,150,12640.42,6,2,12400.75,12400.75,-1.8961,56.994,56.9399,284.6574
airland10,150,12640.42,6,3,12319.83,12319.83,-2.5362,74.8473,74.7944,152.4694
airland11,200,12462.18,0,1,12418.32,12418.32,-0.3519,253.6987,253.5637,300.2991
airland11,200,12462.18,0,2,12418.32,12418.32,-0.3519,281.0273,280.9,300.2512
airland11,200,12462.18,0,3,12418.32,12418.32,-0.3519,249.4223,249.2916,300.2427
